Date,VALUE
1986-09-30,83799000000
1986-10-31,164642000000
1986-11-30,167201000000
1986-12-31,167378000000
1987-01-31,254200000000
1987-02-28,255741000000
1987-03-31,262952000000
1987-04-30,266229000000
1987-05-31,270618000000
1987-06-30,273038000000
1987-07-31,279062000000
1987-08-31,280857000000
1987-09-30,282662000000
1987-10-31,288624000000
1987-11-30,291413000000
1987-12-31,292321000000
1988-01-31,292719000000
1988-02-29,293709000000
1988-03-31,302055000000
1988-04-30,303418000000
1988-05-31,306702000000
1988-06-30,314493000000
1988-07-31,321042000000
1988-08-31,323110000000
1988-09-30,330173000000
1988-10-31,333472000000
1988-11-30,334713000000
1988-12-31,340727000000
1989-01-31,340248000000
1989-02-28,345153000000
1989-03-31,353611000000
1989-04-30,355913000000
1989-05-31,362903000000
1989-06-30,377289000000
1989-07-31,379174000000
1989-08-31,384662000000
1989-09-30,392608000000
1989-10-31,396900000000
1989-11-30,399576000000
1989-12-31,408307000000
1990-01-31,407171000000
1990-02-28,409212000000
1990-03-31,420810000000
1990-04-30,422798000000
1990-05-31,426768000000
1990-06-30,434109000000
1990-07-31,433110000000
1990-08-31,434870000000
1990-09-30,443044000000
1990-10-31,441264000000
1990-11-30,448013000000
1990-12-31,450371000000
1991-01-31,445837000000
1991-02-28,445973000000
1991-03-31,453347000000
1991-04-30,452696000000
1991-05-31,457539000000
1991-06-30,461327000000
1991-07-31,458331000000
1991-08-31,459227000000
1991-09-30,464517000000
1991-10-31,460281000000
1991-11-30,462493000000
1991-12-31,463759000000
1992-01-31,463392000000
1992-02-29,463423000000
1992-03-31,468593000000
1992-04-30,470870000000
1992-05-31,470405000000
1992-06-30,473787000000
1992-07-31,474189000000
1992-08-31,472332000000
1992-09-30,479167000000
1992-10-31,483802000000
1992-11-30,484577000000
1992-12-31,482374000000
1993-01-31,479443000000
1993-02-28,480850000000
1993-03-31,484811000000
1993-04-30,486297000000
1993-05-31,488799000000
1993-06-30,491466000000
1993-07-31,494300000000
1993-08-31,495617000000
1993-09-30,497755000000
1993-10-31,499994000000
1993-11-30,504475000000
1993-12-31,509826000000
1994-01-31,507129000000
1994-02-28,511249000000
1994-03-31,517109000000
1994-04-30,514417000000
1994-05-31,519162000000
1994-06-30,518464000000
1994-07-31,518277000000
1994-08-31,518621000000
1994-09-30,522644000000
1994-10-31,519860000000
1994-11-30,524937000000
1994-12-31,527293000000
1995-01-31,525680000000
1995-02-28,530191000000
1995-03-31,545362000000
1995-04-30,543088000000
1995-05-31,548175000000
1995-06-30,553005000000
1995-07-31,560097000000
1995-08-31,564261000000
1995-09-30,569361000000
1995-10-31,570680000000
1995-11-30,577600000000
1995-12-31,580958000000
1996-01-31,583665000000
1996-02-29,587353000000
1996-03-31,599461000000
1996-04-30,599793000000
1996-05-31,604038000000
1996-06-30,614984000000
1996-07-31,615315000000
1996-08-31,618166000000
1996-09-30,629686000000
1996-10-31,623853000000
1996-11-30,633472000000
1996-12-31,636776000000
1997-01-31,643358000000
1997-02-28,650997000000
1997-03-31,663542000000
1997-04-30,661357000000
1997-05-31,671899000000
1997-06-30,698110000000
1997-07-31,699655000000
1997-08-31,700945000000
1997-09-30,663395000000
1997-10-31,677922000000
1997-11-30,685620000000
1997-12-31,688552000000
1998-01-31,686461000000
1998-02-28,691527000000
1998-03-31,704427000000
1998-04-30,701242000000
1998-05-31,709788000000
1998-06-30,714647000000
1998-07-31,716703000000
1998-08-31,716844000000
1998-09-30,725095000000
1998-10-31,724489000000
1998-11-30,730102000000
1998-12-31,728400000000
1999-01-31,720770000000
1999-02-28,724766000000
1999-03-31,731758000000
1999-04-30,734161000000
1999-05-31,742240000000
1999-06-30,748520000000
1999-07-31,744845000000
1999-08-31,743447000000
1999-09-30,741415000000
1999-10-31,741775000000
1999-11-30,747948000000
1999-12-31,751354000000
2000-01-31,747357000000
2000-02-29,754296000000
2000-03-31,768714000000
2000-04-30,776781000000
2000-05-31,790271000000
2000-06-30,799112000000
2000-07-31,795881000000
2000-08-31,799883000000
2000-09-30,809750000000
2000-10-31,812862000000
2000-11-30,815418000000
2000-12-31,823694000000
2001-01-31,824200000000
2001-02-28,823661000000
2001-03-31,851645000000
2001-04-30,851960000000
2001-05-31,855257000000
2001-06-30,860079000000
2001-07-31,865327000000
2001-08-31,866635000000
2001-09-30,886434000000
2001-10-31,886587000000
2001-11-30,886914000000
2001-12-31,891849000000
2002-01-31,874283000000
2002-02-28,876133000000
2002-03-31,894469000000
2002-04-30,895071000000
2002-05-31,902136000000
2002-06-30,912753000000
2002-07-31,908545000000
2002-08-31,916950000000
2002-09-30,924979000000
2002-10-31,927149000000
2002-11-30,930979000000
2002-12-31,932333000000
2003-01-31,921137000000
2003-02-28,932131000000
2003-03-31,943038000000
2003-04-30,946519000000
2003-05-31,958254000000
2003-06-30,967892000000
2003-07-31,961550000000
2003-08-31,968751000000
2003-09-30,977821000000
2003-10-31,978395000000
2003-11-30,990431000000
2003-12-31,997603000000
2004-01-31,996418000000
2004-02-29,1002613000000
2004-03-31,1019888000000
2004-04-30,1027634000000
2004-05-31,1041602000000
2004-06-30,1054881000000
2004-07-31,1051677000000
2004-08-31,1065131000000
2004-09-30,1077547000000
2004-10-31,1080996000000
2004-11-30,1095704000000
2004-12-31,1099271000000
2005-01-31,1100389000000
2005-02-28,1103576000000
2005-03-31,1125672000000
2005-04-30,1139563000000
2005-05-31,1166748000000
2005-06-30,1170749000000
2005-07-31,1175688000000
2005-08-31,1172930000000
2005-09-30,1198139000000
2005-10-31,1201196000000
2005-11-30,1215166000000
2005-12-31,1229525000000
2006-01-31,1222394000000
2006-02-28,1239203000000
2006-03-31,1261785000000
2006-04-30,1274515000000
2006-05-31,1289386000000
2006-06-30,1305733000000
2006-07-31,1311203000000
2006-08-31,1319848000000
2006-09-30,1345675000000
2006-10-31,1357359000000
2006-11-30,1374432000000
2006-12-31,1403203000000
2007-01-31,1390989000000
2007-02-28,1405316000000
2007-03-31,1442293000000
2007-04-30,1461412000000
2007-05-31,1490016000000
2007-06-30,1506920000000
2007-07-31,1510170000000
2007-08-31,1535160000000
2007-09-30,1545391000000
2007-10-31,1522679000000
2007-11-30,1542246000000
2007-12-31,1558272000000
2008-01-31,1607026000000
2008-02-29,1606854000000
2008-03-31,1648987000000
2008-04-30,1652832000000
2008-05-31,1668410000000
2008-06-30,1682767000000
2008-07-31,1667418000000
2008-08-31,1673747000000
2008-09-30,1694778000000
2008-10-31,1737151000000
2008-11-30,1797074000000
2008-12-31,1842506000000
2009-01-31,1841965000000
2009-02-28,1825142000000
2009-03-31,1854660000000
2009-04-30,1829386000000
2009-05-31,1829611000000
2009-06-30,1822724000000
2009-07-31,1819961000000
2009-08-31,1829288000000
2009-09-30,1868472000000
2009-10-31,1893394000000
2009-11-30,1904973000000
2009-12-31,1906978000000
2010-01-31,2084357000000
2010-02-28,2103024000000
2010-03-31,2105103000000
2010-04-30,2078849000000
2010-05-31,2097977000000
2010-06-30,2102444000000
2010-07-31,2084725000000
2010-08-31,2070915000000
2010-09-30,2088868000000
2010-10-31,2090616000000
2010-11-30,2087239000000
2010-12-31,2092612000000
2011-01-31,2055967000000
2011-02-28,2042804000000
2011-03-31,2083976000000
2011-04-30,2086050000000
2011-05-31,2089824000000
2011-06-30,2090677000000
2011-07-31,2077511000000
2011-08-31,2081434000000
2011-09-30,2100529000000
2011-10-31,2068917000000
2011-11-30,2079769000000
2011-12-31,2047997000000
2012-01-31,2035777000000
2012-02-29,1996267000000
2012-03-31,2025447000000
2012-04-30,2034388000000
2012-05-31,2044150000000
2012-06-30,2034530000000
2012-07-31,2028748000000
2012-08-31,2019746000000
2012-09-30,2032024000000
2012-10-31,2016458000000
2012-11-30,2026771000000
2012-12-31,2058147000000
2013-01-31,2042104000000
2013-02-28,2055506000000
2013-03-31,2076382000000
2013-04-30,2077230000000
2013-05-31,2083502000000
2013-06-30,2095651000000
2013-07-31,2101376000000
2013-08-31,2102472000000
2013-09-30,2098353000000
2013-10-31,2098329000000
2013-11-30,2108915000000
2013-12-31,2088309000000
2014-01-31,2080589000000
2014-02-28,2093907000000
2014-03-31,2087346000000
2014-04-30,2071500000000
2014-05-31,2074343000000
2014-06-30,2075355000000
2014-07-31,2068208000000
2014-08-31,2065530000000
2014-09-30,2077291000000
2014-10-31,2058439000000
2014-11-30,2076989000000
2014-12-31,2086864000000
2015-01-31,2062511000000
2015-02-28,2054233000000
2015-03-31,2088347000000
2015-04-30,2084126000000
2015-05-31,2092550000000
2015-06-30,2096810000000
2015-07-31,2108678000000
2015-08-31,2106787000000
2015-09-30,2115616000000
2015-10-31,2124056000000
2015-11-30,2132942000000
2015-12-31,2134700000000
2016-01-31,2145396000000
2016-02-29,2167342000000
2016-03-31,2178738000000
2016-04-30,2168656000000
2016-05-31,2182445000000
2016-06-30,2253979000000
2016-07-31,2262843000000
2016-08-31,2275872000000
2016-09-30,2281887000000
2016-10-31,2295118000000
2016-11-30,2285837000000
2016-12-31,2284024000000
2017-01-31,2265458000000
2017-02-28,2266093000000
2017-03-31,2289209000000
2017-04-30,2292605000000
2017-05-31,2311609000000
2017-06-30,2327126000000
2017-07-31,2318764000000
2017-08-31,2339701000000
2017-09-30,2347196000000
2017-10-31,2343137000000
2017-11-30,2352839000000
2017-12-31,2347812000000
2018-01-31,2339727000000
2018-02-28,2335348000000
2018-03-31,2338532000000
2018-04-30,2346938000000
2018-05-31,2373761000000
2018-06-30,2385100000000
2018-07-31,2375341000000
2018-08-31,2385214000000
2018-09-30,2397155000000
2018-10-31,2419393000000
2018-11-30,2426417000000
2018-12-31,2420499000000
2019-01-31,2386334000000
2019-02-28,2377177000000
2019-03-31,2404740000000
2019-04-30,2408328000000
2019-05-31,2410506000000
2019-06-30,2426921000000
2019-07-31,2420586000000
2019-08-31,2440790000000
2019-09-30,2440731000000
2019-10-31,2422523000000
2019-11-30,2443749000000
2019-12-31,2448583000000
2020-01-31,2436490000000
2020-02-29,2459785000000
2020-03-31,2593974000000
2020-04-30,2628158000000
2020-05-31,2687660000000
2020-06-30,2697445000000
2020-07-31,2705541000000
2020-08-31,2715003000000
2020-09-30,2718263000000
2020-10-31,2753762000000
2020-11-30,2774360000000
2020-12-31,2792324000000
2021-01-31,2781954000000
2021-02-28,2801283000000
2021-03-31,2830419000000
2021-04-30,2847522000000
2021-05-31,2854029000000
2021-06-30,2878462000000
2021-07-31,2877482000000
2021-08-31,2881256000000
2021-09-30,2915409000000
2021-10-31,2943073000000
2021-11-30,2963957000000
2021-12-31,2957337000000
2022-01-31,2929544000000
2022-02-28,2945070000000
2022-03-31,2992305000000
2022-04-30,3002915000000
2022-05-31,3013139000000
2022-06-30,3046284000000
2022-07-31,3050458000000
2022-08-31,3081072000000
2022-09-30,3191077000000
2022-10-31,3095289000000
2022-11-30,3080774000000
2022-12-31,3034647000000
2023-01-31,3035565000000
2023-02-28,3035953000000
2023-03-31,3019136000000
2023-04-30,3007281000000
2023-05-31,3019513000000
2023-06-30,3018299000000
2023-07-31,3015511000000
2023-08-31,3003260000000
2023-09-30,2999894000000
2023-10-31,3003788000000
2023-11-30,3003279000000
2023-12-31,3022611000000
2024-01-31,2980598000000
2024-02-29,2995210000000
2024-03-31,3041700000000
2024-04-30,3031937000000
2024-05-31,3037956000000
2024-06-30,3073596000000
2024-07-31,3044925000000
2024-08-31,3026156000000
2024-09-30,3049460000000
2024-10-31,3071687000000
2024-11-30,3085307000000
2024-12-31,3091007000000
2025-01-31,3096996000000
2025-02-28,3095717000000
2025-03-31,3127956000000
2025-04-30,3109743000000
2025-05-31,3116475000000
2025-06-30,3121628000000
2025-07-31,3141812000000
2025-08-31,3133316000000
2025-09-30,3168914000000
2025-10-31,3173219000000
2025-11-30,3198837000000
2025-12-31,3195099000000
2026-01-31,3152959000000
2026-02-28,3159674000000
2026-03-31,3208138000000
2026-04-30,3198507000000
