observation_date,IR3TTS01GBM156N
1960-01-01,4.5400
1960-02-01,4.5500
1960-03-01,4.6200
1960-04-01,4.6500
1960-05-01,4.5600
1960-06-01,5.6800
1960-07-01,5.5500
1960-08-01,5.5900
1960-09-01,5.5700
1960-10-01,5.0900
1960-11-01,4.6400
1960-12-01,4.3500
1961-01-01,4.1700
1961-02-01,4.4000
1961-03-01,4.4900
1961-04-01,4.4100
1961-05-01,4.4400
1961-06-01,4.5400
1961-07-01,6.6900
1961-08-01,6.7000
1961-09-01,6.5500
1961-10-01,5.7300
1961-11-01,5.3900
1961-12-01,5.4000
1962-01-01,5.2400
1962-02-01,5.5300
1962-03-01,4.4100
1962-04-01,4.0500
1962-05-01,3.8200
1962-06-01,3.9200
1962-07-01,3.8900
1962-08-01,3.7500
1962-09-01,3.6400
1962-10-01,3.8600
1962-11-01,3.6900
1962-12-01,3.7200
1963-01-01,3.4900
1963-02-01,3.4300
1963-03-01,3.7600
1963-04-01,3.7100
1963-05-01,3.6400
1963-06-01,3.7000
1963-07-01,3.7600
1963-08-01,3.7200
1963-09-01,3.6700
1963-10-01,3.7400
1963-11-01,3.7400
1963-12-01,3.7200
1964-01-01,3.7600
1964-02-01,4.3100
1964-03-01,4.3000
1964-04-01,4.3000
1964-05-01,4.3800
1964-06-01,4.4600
1964-07-01,4.6500
1964-08-01,4.6600
1964-09-01,4.6500
1964-10-01,4.7000
1964-11-01,6.6300
1964-12-01,6.6300
1965-01-01,6.5400
1965-02-01,6.4400
1965-03-01,6.5500
1965-04-01,6.3800
1965-05-01,6.3600
1965-06-01,5.5400
1965-07-01,5.6300
1965-08-01,5.5600
1965-09-01,5.4900
1965-10-01,5.4400
1965-11-01,5.4000
1965-12-01,5.5200
1966-01-01,5.4800
1966-02-01,5.6200
1966-03-01,5.6000
1966-04-01,5.6400
1966-05-01,5.6600
1966-06-01,5.7300
1966-07-01,6.6800
1966-08-01,6.7300
1966-09-01,6.7500
1966-10-01,6.5100
1966-11-01,6.7400
1966-12-01,6.5300
1967-01-01,6.0800
1967-02-01,6.0400
1967-03-01,5.5000
1967-04-01,5.4100
1967-05-01,5.2500
1967-06-01,5.2800
1967-07-01,5.3500
1967-08-01,5.2900
1967-09-01,5.4800
1967-10-01,5.7300
1967-11-01,7.5500
1967-12-01,7.4800
1968-01-01,7.5200
1968-02-01,7.3700
1968-03-01,7.1100
1968-04-01,7.0800
1968-05-01,7.2400
1968-06-01,7.2400
1968-07-01,7.0600
1968-08-01,6.9500
1968-09-01,6.5800
1968-10-01,6.4900
1968-11-01,6.7900
1968-12-01,6.7800
1969-01-01,6.7300
1969-02-01,7.7100
1969-03-01,7.7800
1969-04-01,7.8000
1969-05-01,7.8500
1969-06-01,7.8800
1969-07-01,7.8300
1969-08-01,7.7900
1969-09-01,7.8100
1969-10-01,7.7400
1969-11-01,7.7400
1969-12-01,7.6500
1970-01-01,7.5100
1970-02-01,7.5900
1970-03-01,7.1800
1970-04-01,6.7700
1970-05-01,6.8600
1970-06-01,6.8500
1970-07-01,6.8300
1970-08-01,6.8200
1970-09-01,6.8100
1970-10-01,6.8100
1970-11-01,6.8200
1970-12-01,6.8200
1971-01-01,6.7700
1971-02-01,6.7200
1971-03-01,6.6200
1971-04-01,5.6800
1971-05-01,5.6300
1971-06-01,5.5900
1971-07-01,5.5600
1971-08-01,5.8100
1971-09-01,4.7500
1971-10-01,4.5600
1971-11-01,4.2800
1971-12-01,4.4100
1972-01-01,4.3500
1972-02-01,4.3600
1972-03-01,4.3100
1972-04-01,4.2700
1972-05-01,4.3000
1972-06-01,5.6400
1972-07-01,5.7600
1972-08-01,5.8300
1972-09-01,6.6300
1972-10-01,6.8900
1972-11-01,6.9300
1972-12-01,8.3100
1973-01-01,8.1300
1973-02-01,8.0600
1973-03-01,7.9400
1973-04-01,7.6700
1973-05-01,7.2000
1973-06-01,6.9600
1973-07-01,10.8900
1973-08-01,10.9700
1973-09-01,10.9400
1973-10-01,10.6700
1973-11-01,12.4500
1973-12-01,12.4200
1974-01-01,12.0300
1974-02-01,11.8200
1974-03-01,11.9800
1974-04-01,11.4800
1974-05-01,11.2100
1974-06-01,11.2400
1974-07-01,11.1900
1974-08-01,11.2500
1974-09-01,10.9800
1974-10-01,10.8900
1974-11-01,10.9800
1974-12-01,10.9900
1975-01-01,10.2641
1975-02-01,9.7704
1975-03-01,9.3694
1975-04-01,9.2403
1975-05-01,9.4459
1975-06-01,9.4826
1975-07-01,10.4272
1975-08-01,10.3805
1975-09-01,10.4835
1975-10-01,11.4103
1975-11-01,10.9880
1975-12-01,10.7708
1976-01-01,9.2987
1976-02-01,8.6161
1976-03-01,8.4177
1976-04-01,9.9432
1976-05-01,10.9983
1976-06-01,10.9919
1976-07-01,10.8693
1976-08-01,10.9403
1976-09-01,12.3748
1976-10-01,14.4337
1976-11-01,14.0342
1976-12-01,13.5094
1977-01-01,11.7386
1977-02-01,10.7662
1977-03-01,8.7643
1977-04-01,7.4973
1977-05-01,7.4337
1977-06-01,7.4502
1977-07-01,7.3008
1977-08-01,6.4184
1977-09-01,5.3013
1977-10-01,4.4776
1977-11-01,6.4265
1977-12-01,6.2931
1978-01-01,5.7692
1978-02-01,5.9755
1978-03-01,5.9962
1978-04-01,6.9988
1978-05-01,8.4825
1978-06-01,9.2726
1978-07-01,9.1136
1978-08-01,9.0466
1978-09-01,9.1659
1978-10-01,10.2846
1978-11-01,11.5660
1978-12-01,11.5635
1979-01-01,12.0863
1979-02-01,12.2281
1979-03-01,11.4397
1979-04-01,11.2863
1979-05-01,11.4209
1979-06-01,13.3295
1979-07-01,13.3459
1979-08-01,13.3397
1979-09-01,13.3638
1979-10-01,13.4713
1979-11-01,16.0988
1979-12-01,15.8421
1980-01-01,16.1858
1980-02-01,16.1236
1980-03-01,16.2838
1980-04-01,16.0629
1980-05-01,16.0608
1980-06-01,15.6801
1980-07-01,14.7076
1980-08-01,14.9497
1980-09-01,14.3317
1980-10-01,14.3641
1980-11-01,12.9502
1980-12-01,13.0161
1981-01-01,12.6095
1981-02-01,11.5857
1981-03-01,11.5305
1981-04-01,11.2851
1981-05-01,11.4452
1981-06-01,11.8780
1981-07-01,13.8014
1981-08-01,13.1867
1981-09-01,15.1231
1981-10-01,15.6619
1981-11-01,13.7564
1981-12-01,14.6701
1982-01-01,13.5681
1982-02-01,12.4972
1982-03-01,12.4717
1982-04-01,12.6180
1982-05-01,12.2195
1982-06-01,12.2313
1982-07-01,10.7246
1982-08-01,9.6954
1982-09-01,9.4990
1982-10-01,8.5089
1982-11-01,9.6493
1982-12-01,9.7204
1983-01-01,10.9366
1983-02-01,10.8439
1983-03-01,10.2175
1983-04-01,9.6765
1983-05-01,9.6863
1983-06-01,9.2647
1983-07-01,9.3989
1983-08-01,9.3386
1983-09-01,8.9680
1983-10-01,8.8307
1983-11-01,8.8624
1983-12-01,8.8391
1984-01-01,8.8590
1984-02-01,8.8473
1984-03-01,8.3829
1984-04-01,8.3629
1984-05-01,8.9245
1984-06-01,8.8638
1984-07-01,11.3560
1984-08-01,9.9324
1984-09-01,9.9807
1984-10-01,9.8771
1984-11-01,9.0559
1984-12-01,9.1225
1985-01-01,11.8150
1985-02-01,13.4035
1985-03-01,12.3571
1985-04-01,11.9039
1985-05-01,11.8015
1985-06-01,11.9659
1985-07-01,10.9861
1985-08-01,11.0009
1985-09-01,11.0069
1985-10-01,11.1373
1985-11-01,11.0153
1985-12-01,11.1662
1986-01-01,12.0967
1986-02-01,11.8481
1986-03-01,10.7444
1986-04-01,9.8470
1986-05-01,9.3400
1986-06-01,9.3029
1986-07-01,9.5021
1986-08-01,9.3369
1986-09-01,9.6865
1986-10-01,10.5631
1986-11-01,10.6692
1986-12-01,10.6646
1987-01-01,10.5618
1987-02-01,10.1969
1987-03-01,9.3157
1987-04-01,8.6988
1987-05-01,8.4947
1987-06-01,8.7617
1987-07-01,8.9371
1987-08-01,9.8670
1987-09-01,9.7727
1987-10-01,8.8733
1987-11-01,8.4842
1987-12-01,8.2090
1988-01-01,8.2125
1988-02-01,8.8106
1988-03-01,8.0952
1988-04-01,7.8262
1988-05-01,7.1506
1988-06-01,9.7074
1988-07-01,10.2638
1988-08-01,11.4865
1988-09-01,11.3908
1988-10-01,11.5015
1988-11-01,12.5769
1988-12-01,12.5083
1989-01-01,12.3125
1989-02-01,12.5059
1989-03-01,12.3940
1989-04-01,12.2335
1989-05-01,13.2667
1989-06-01,13.6226
1989-07-01,13.2363
1989-08-01,13.4198
1989-09-01,13.4431
1989-10-01,14.4398
1989-11-01,14.5739
1989-12-01,14.4790
1990-01-01,14.4529
1990-02-01,14.3421
1990-03-01,14.5870
1990-04-01,14.6200
1990-05-01,14.4826
1990-06-01,14.3198
1990-07-01,14.3317
1990-08-01,14.2896
1990-09-01,14.2333
1990-10-01,13.1273
1990-11-01,12.6947
1990-12-01,13.0581
1991-01-01,12.8363
1991-02-01,11.8831
1991-03-01,11.5556
1991-04-01,11.1700
1991-05-01,10.7438
1991-06-01,10.7456
1991-07-01,10.4456
1991-08-01,10.0676
1991-09-01,9.6979
1991-10-01,9.9402
1991-11-01,10.0806
1991-12-01,10.1879
1992-01-01,9.8765
1992-02-01,9.7383
1992-03-01,10.2134
1992-04-01,9.5628
1992-05-01,9.4278
1992-06-01,9.4619
1992-07-01,9.6127
1992-08-01,9.6875
1992-09-01,8.2261
1992-10-01,6.7575
1992-11-01,6.4577
1992-12-01,6.3574
1993-01-01,5.3246
1993-02-01,5.3717
1993-03-01,5.3346
1993-04-01,5.2900
1993-05-01,5.2123
1993-06-01,5.1541
1993-07-01,5.0739
1993-08-01,5.1336
1993-09-01,5.2048
1993-10-01,5.0037
1993-11-01,4.8142
1993-12-01,4.8934
1994-01-01,4.8533
1994-02-01,4.7129
1994-03-01,4.9290
1994-04-01,4.8485
1994-05-01,4.7991
1994-06-01,4.9525
1994-07-01,5.6029
1994-08-01,5.3537
1994-09-01,5.4710
1994-10-01,5.4342
1994-11-01,5.7182
1994-12-01,5.9162
1995-01-01,6.1071
1995-02-01,6.1884
1995-03-01,6.1134
1995-04-01,6.6146
1995-05-01,6.0766
1995-06-01,6.6197
1995-07-01,6.5992
1995-08-01,6.5780
1995-09-01,6.5378
1995-10-01,6.5346
1995-11-01,6.2358
1995-12-01,6.2159
1996-01-01,6.0090
1996-02-01,5.8748
1996-03-01,5.7999
1996-04-01,5.7940
1996-05-01,5.8344
1996-06-01,5.5318
1996-07-01,5.5143
1996-08-01,5.5148
1996-09-01,5.5516
1996-10-01,5.8592
1996-11-01,6.1328
1996-12-01,6.1647
1997-01-01,5.9340
1997-02-01,5.7574
1997-03-01,6.0361
1997-04-01,6.1348
1997-05-01,6.2108
1997-06-01,6.4200
1997-07-01,6.7348
1997-08-01,6.9241
1997-09-01,6.8969
1997-10-01,6.8999
1997-11-01,7.1330
1997-12-01,7.1058
1998-01-01,6.7291
1998-02-01,6.9691
1998-03-01,7.0934
1998-04-01,6.9342
1998-05-01,7.0563
1998-06-01,7.3602
1998-07-01,7.2971
1998-08-01,7.0995
1998-09-01,6.7547
1998-10-01,6.5550
1998-11-01,6.2371
1998-12-01,5.5552
1999-01-01,5.3188
1999-02-01,5.0458
1999-03-01,4.8669
1999-04-01,4.9215
1999-05-01,4.9214
1999-06-01,4.7086
1999-07-01,4.8593
1999-08-01,4.8373
1999-09-01,5.3095
1999-10-01,5.2526
1999-11-01,5.2094
1999-12-01,5.6154
2000-01-01,5.7646
2000-02-01,5.8426
2000-03-01,5.8425
2000-04-01,5.9577
2000-05-01,5.9500
2000-06-01,5.8460
2000-07-01,5.8431
2000-08-01,5.8606
2000-09-01,5.7650
2000-10-01,5.7270
2000-11-01,5.6396
2000-12-01,5.6113
2001-01-01,5.4937
2001-02-01,5.3881
2001-03-01,5.2231
2001-04-01,5.0461
2001-05-01,4.9599
2001-06-01,5.0360
2001-07-01,4.9775
2001-08-01,4.6553
2001-09-01,4.2828
2001-10-01,4.1157
2001-11-01,3.7711
2001-12-01,3.8333
2002-01-01,3.8597
2002-02-01,3.8880
2002-03-01,4.0002
2002-04-01,3.9409
2002-05-01,4.0010
2002-06-01,3.9311
2002-07-01,3.7153
2002-08-01,3.8193
2002-09-01,3.7742
2002-10-01,3.6907
2002-11-01,3.8269
2002-12-01,3.8427
2003-01-01,3.7540
2003-02-01,3.4590
2003-03-01,3.4814
2003-04-01,3.4432
2003-05-01,3.4099
2003-06-01,3.4680
2003-07-01,3.3346
2003-08-01,3.4949
2003-09-01,3.5591
2003-10-01,3.7781
2003-11-01,3.8201
2003-12-01,3.7390
2004-01-01,3.9170
2004-02-01,4.0330
2004-03-01,4.1710
2004-04-01,4.2280
2004-05-01,4.4480
2004-06-01,4.6190
2004-07-01,4.7140
2004-08-01,4.7320
2004-09-01,4.6795
2004-10-01,4.6790
2004-11-01,4.6400
2004-12-01,4.6910
2005-01-01,4.6540
2005-02-01,4.7346
2005-03-01,4.7594
2005-04-01,4.6949
2005-05-01,4.6480
2005-06-01,4.5179
2005-07-01,4.4304
2005-08-01,4.3820
2005-09-01,4.4004
2005-10-01,4.4238
2005-11-01,4.4003
2005-12-01,4.4271
2006-01-01,4.4017
2006-02-01,4.3885
2006-03-01,4.4107
2006-04-01,4.4502
2006-05-01,4.5129
2006-06-01,4.5352
2006-07-01,4.5768
2006-08-01,4.7651
2006-09-01,4.8669
2006-10-01,4.9773
2006-11-01,5.0444
2006-12-01,5.1080
2007-01-01,5.3662
2007-02-01,5.3100
2007-03-01,5.3808
2007-04-01,5.4721
2007-05-01,5.5896
2007-06-01,5.7699
2007-07-01,5.7543
2007-08-01,5.7675
2007-09-01,5.6055
2007-10-01,5.5708
2007-11-01,5.4435
2007-12-01,5.2388
2008-01-01,5.0106
2008-02-01,4.9772
2008-03-01,4.7690
2008-04-01,4.8966
2008-05-01,5.0379
2008-06-01,5.1022
2008-07-01,5.0851
2008-08-01,4.9386
2008-09-01,4.5131
2008-10-01,3.5418
2008-11-01,1.6806
2008-12-01,1.2420
2009-01-01,0.9057
2009-02-01,0.6595
2009-03-01,0.6210
2009-04-01,0.5677
2009-05-01,0.5168
2009-06-01,0.4941
2009-07-01,0.4339
2009-08-01,0.3740
2009-09-01,0.3870
2009-10-01,0.4550
2009-11-01,0.4570
2009-12-01,0.4911
2010-01-01,0.4876
2010-02-01,0.4915
2010-03-01,0.5131
2010-04-01,0.5040
2010-05-01,0.4946
2010-06-01,0.4877
2010-07-01,0.4986
2010-08-01,0.4940
2010-09-01,0.5106
2010-10-01,0.5047
2010-11-01,0.4858
2010-12-01,0.5007
2011-01-01,0.5092
2011-02-01,0.5390
2011-03-01,0.6043
2011-04-01,0.5602
2011-05-01,0.5264
2011-06-01,0.5083
2011-07-01,0.4875
2011-08-01,0.4578
2011-09-01,0.4640
2011-10-01,0.4583
2011-11-01,0.4099
2011-12-01,0.2407
2012-01-01,0.3646
2012-02-01,0.4019
2012-03-01,0.4428
2012-04-01,0.4026
2012-05-01,0.3333
2012-06-01,0.3532
2012-07-01,0.2633
2012-08-01,0.2418
2012-09-01,0.2610
2012-10-01,0.2346
2012-11-01,0.2316
2012-12-01,0.3090
2013-01-01,0.2890
2013-02-01,0.3443
2013-03-01,0.3752
2013-04-01,0.3273
2013-05-01,0.3090
2013-06-01,0.3289
2013-07-01,0.2997
2013-08-01,0.2686
2013-09-01,0.3504
2013-10-01,0.3184
2013-11-01,0.2882
2013-12-01,0.2570
2014-01-01,0.3601
2014-02-01,0.3768
2014-03-01,0.4210
2014-04-01,0.3438
2014-05-01,0.2762
2014-06-01,0.4171
2014-07-01,0.4178
2014-08-01,0.3974
2014-09-01,0.4803
2014-10-01,0.3901
2014-11-01,0.4129
2014-12-01,0.3884
2015-01-01,0.3421
2015-02-01,0.3999
2015-03-01,0.4417
2015-04-01,0.4365
2015-05-01,0.4642
2015-06-01,0.4956
2015-07-01,0.4848
2015-08-01,0.4544
2015-09-01,0.4665
2015-10-01,0.4801
2015-11-01,0.4836
2015-12-01,0.4511
2016-01-01,0.4811
2016-02-01,0.4670
2016-03-01,0.4596
2016-04-01,0.4442
2016-05-01,0.4254
2016-06-01,0.3998
2016-07-01,0.3427
2016-08-01,0.2212
2016-09-01,0.1837
2016-10-01,0.1599
2016-11-01,0.1209
2016-12-01,0.0106
2017-01-01,0.1642
2017-02-01,0.0344
2017-03-01,0.0621
2017-04-01,0.0693
2017-05-01,0.0575
2017-06-01,0.1262
